CRS,Tiploc,Description,Stannox
BTD,BLTNODR,BOLTON-UPON-DEARNE,24011
CNS,CONBRGH,CONISBROUGH,24221
BNY,BNSLY,BARNSLEY,24385
CLN,CHPLTWN,CHAPELTOWN,25307
ELR,ELSC,ELSECAR,25308
DOD,DODWRTH,DODWORTH,25386
DOR,DORE,DORE & TOTLEY,25704
DRO,DRONFLD,DRONFIELD,25711
DAN,DARNALL,DARNALL,25804
CAE,BRGLCAR,CARBROOK,25805
VAE,BRGLVAL,VALLEY CENTERTAINMENT,25806
ATE,ATTRCLI,ATTERCLIFFE,25808
BGG,BRGG,BRIGG,26001
CHD,CHFD,CHESTERFIELD,27263
CWD,CRWLL,CRESWELL (DERBYS),28001
BYM,BURNMR,BURNLEY MANCHESTER ROAD,29005
CNE,COLNE,COLNE,29030
BRF,BRIERFL,BRIERFIELD,29036
BNC,BURNLYC,BURNLEY CENTRAL,29041
BUB,BURNLYB,BURNLEY BARRACKS,29043
ACR,ACRNGTN,ACCRINGTON,29061
CTW,CHOS,CHURCH & OSWALDTWISTLE,29063
CLH,CLITHRO,CLITHEROE,29143
BBN,BLKB,BLACKBURN,29150
CYT,CHTR,CHERRY TREE,29162
DWN,DARWEN,DARWEN,29173
ENT,ENTWISL,ENTWISTLE,29175
BMC,BRMCRSS,BROMLEY CROSS,29177
BPN,BLCKPLN,BLACKPOOL NORTH,30021
XNS,BLCKNCS,BLACKPOOL NORTH CAR. M.D.,30022
BPS,BLCKS,BLACKPOOL SOUTH,30033
BPB,BLCKPB,BLACKPOOL PLEASURE BEACH,30034
AFV,ANSDELL,ANSDELL & FAIRHAVEN,30037
BMB,BMBRBDG,BAMBER BRIDGE,30133
CSO,CROT,CROSTON,30153
BCJ,BRSCGHJ,BURSCOUGH JUNCTION,30157
EBA,EUXT,EUXTON BALSHAW LANE,30163
XOU,EUXTONJ,EUXTON JN,30164
BSV,CHORBUK,BUCKSHAW PARKWAY,30201
CRL,CHORLEY,CHORLEY,30213
BLK,BLRD,BLACKROD,30221
ADL,ADNL,ADLINGTON (LANCASHIRE),30321
CAS,CSTL,CASTLETON,31044
CLI,CLTN,CLIFTON,31565
BON,BOLTON,BOLTON,31620
ECC,ECCLES,ECCLES,31739
XRK,ARDWTMD,ARDWICK T.M.D,32043
ADK,ARDWICK,ARDWICK,32045
ABY,ASHBRYS,ASHBURYS,32050
BLV,BLLVUE,BELLE VUE,32061
BNT,BRNGTN,BRINNINGTON,32064
BDY,BREDBRY,BREDBURY,32065
AHN,ASHONUL,ASHTON-UNDER-LYNE,32115
BDB,BRBM,BROADBOTTOM,32232
DTG,DNTG,DINTING,32243
DTN,DNTON,DENTON,32520
BNA,BAGE,BURNAGE,32522
EDY,EDIDBRY,EAST DIDSBURY,32524
DVN,DAVNPRT,DAVENPORT,32538
DSL,DISLEY,DISLEY,32543
CEF,CHEF,CHAPEL-EN-LE-FRITH,32547
DVH,DVHL,DOVE HOLES,32548
CHU,CHDH,CHEADLE HULME,32563
ADC,ADLC,ADLINGTON (CHESHIRE),32575
BML,BMHL,BRAMHALL,32579
ALD,ALDEDGE,ALDERLEY EDGE,32581
CEL,CHELFD,CHELFORD,32583
CSR,CHASNRD,CHASSEN ROAD,33098
CLY,CHNLY,CHINLEY,34001
EDL,EDALE,EDALE,34005
BAM,BAMFORD,BAMFORD,34011
BUX,BUXTON,BUXTON,34201
BES,BESCRLA,BESCAR LANE,35018
BCB,BRSCGHB,BURSCOUGH BRIDGE,35022
APB,APLYBDG,APPLEY BRIDGE,35050
ATN,ATHERTN,ATHERTON,35139
DSY,DAISYH,DAISY HILL,35141
ERL,ERLSTWN,EARLESTOWN,35325
BYN,BRYN,BRYN,35394
AUG,AGHTNPH,AUGHTON PARK,36005
AIN,AINTREE,AINTREE,36027
BDL,BKDLE,BIRKDALE,36060
ANS,AINSDAL,AINSDALE,36062
BLN,BLNDLAC,BLUNDELLSANDS & CROSBY,36068
BNW,BOOTLNS,BOOTLE NEW STRAND,36071
BOT,BOOTLOR,BOOTLE ORIEL ROAD,36072
BAH,BNKHALL,BANK HALL,36075
BRW,BNWK,BRUNSWICK,36082
AIG,AIGBURT,AIGBURTH,36086
CSG,CRSNGTN,CRESSINGTON,36088
EDG,EDGH,EDGE HILL,36170
XEG,EDGHDHS,EDGE HILL DEPOT,36173
XDG,EDGHDWG,EDGE HILL DOWN WAPPING,36174
XAL,ALERTNS,ALLERTON DEPOT,36191
ALE,ALERTN,LIVERPOOL SOUTH PW HL,36192
BGE,BROADGR,BROAD GREEN,36602
ECL,ECPK,ECCLESTON PARK,36615
BWD,BIRCHWD,BIRCHWOOD,36716
ACB,ACBG,ACTON BRIDGE,37001
DLM,DELAMER,DELAMERE,37067
CUD,CUDNGTN,CUDDINGTON,37069
ASY,ASHLEY,ASHLEY,37223
ALT,ALTRNHM,ALTRINCHAM,37225
BID,BDSTON,BIDSTON,38012
BKN,BRKNHDN,BIRKENHEAD NORTH,38151
BKP,BRKNHDP,BIRKENHEAD PARK,38153
XDB,BRKNMUD,BIRKENHEAD NORTH E.M.U.D,38155
CNP,BRKNCPK,CONWAY PARK,38157
BKC,BRKNHDC,BIRKENHEAD CENTRAL,38200
BEB,BEBNGTN,BEBINGTON,38208
BMR,BRMBRK,BROMBOROUGH RAKE,38216
BOM,BRMB,BROMBOROUGH,38218
ERA,ESTHRAK,EASTHAM RAKE,38220
CPU,CPNHRST,CAPENHURST,38304
BAC,BACHE,BACHE,38306
ELP,ELSMPRT,ELLESMERE PORT,38317
BOR,BODORGN,BODORGAN,40017
AMW,AMLWCH,AMLWCH,40021
BNG,BANGOR,BANGOR (GWYNEDD),40036
CNW,CONWY,CONWY,40045
DGY,DEGANWY,DEGANWY,40047
DLG,DOLGARG,DOLGARROG,40058
BYC,BETSYCD,BETWS-Y-COED,40061
DWD,DLWYDLN,DOLWYDDELAN,40063
BFF,BLAENAU,BLAENAU FFESTINIOG,40066
CWB,CBAY,COLWYN BAY,40071
AGL,ABGLELE,ABERGELE & PENSARN,40073
XCH,CHSTRDD,CHESTER D.M.U.D.,40304
CTR,CHST,CHESTER,40320
XCZ,CHSTYD,CHESTER YARD,40320
BCK,BCKY,BUCKLEY,41019
CGW,CAERGWL,CAERGWRLE,41027
CYB,CEFNYBD,CEFN-Y-BEDD,41029
XNF,CROESNF,CROES NEWYDD NORTH FORK,41131
CRK,CHIRK,CHIRK,41407
CRE,CREWE,CREWE,42140
XCT,CREWESY,CREWE SOUTH YARD,42141
XCR,CREWECS,CREWE C.S.,42145
XXM,CREWBHM,CREWE BAS HALL S.S.M.,42159
XXC,CREWBHN,CREWE BAS HALL S.S.N.,42159
ASG,ALSAGER,ALSAGER,42412
CNG,CONGLTN,CONGLETON,43013
BRT,BARLSTN,BARLASTON,43306
XCO,COLWICH,COLWICH,43328
